,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
0,11 UMi,b,229.27453600000001,71.823898,7.4702649261261485,0.72595358891902317,133.86406103251406,13.008788375624967,9.7179095533828743
1,8 UMi,b,224.20147700000001,74.900925000000001,6.1409576080366204,0.36861548736562322,162.84105245919761,9.7746536854159292,6.0025733915378137
2,AB Pic,b,94.803802000000005,-58.054310000000001,19.924625566991075,0.36861911284873555,50.18914893219825,0.92853336148358401,1.8500679554019981
3,BD+15 2375,b,176.48217399999999,14.616381000000001,1.6369197430215743,0.58268101138657069,610.90349985889327,217.45835168455426,35.596186915737569
4,BD+15 2940,b,240.09556599999999,15.54693,2.1245454083093529,0.38449730690191597,470.6889276590087,85.184634965019058,18.097862507343958
5,BD+20 2457,b,154.18691000000001,19.891408999999999,0.3968398608029835,0.50891898295076854,2519.9081513045471,3231.6035261587308,128.24290934912614
6,BD+20 2457,c,154.18691000000001,19.891408999999999,0.3968398608029835,0.50891898295076854,2519.9081513045471,3231.6035261587308,128.24290934912614
7,BD+20 274,b,25.920324000000001,21.005313999999998,0.92281834598465251,0.41933795008858005,1083.6368873150157,492.41551486732754,45.44100709670483
8,BD+20 594,b,53.650965999999997,20.599232000000001,5.7761430727661525,0.38784550867083722,173.12590553978563,11.62473021396641,6.7146104898177477
9,BD+49 828,b,45.640529000000001,49.730010999999998,2.4532223307861618,0.39323699607599311,407.62713898806686,65.340213825361175,16.02940716547187
10,BD-13 2130,b,114.28845800000001,-13.906639,1.0520230242614432,0.40327566503042367,950.54953830695376,364.3774787858967,38.333349720509894
11,CoRoT-7,b,100.956125,-1.0630329999999999,6.2939367155389512,0.39855050688634658,158.88307194623101,10.060941461882475,6.3322928859830236
12,CoRoT-7,c,100.956125,-1.0630329999999999,6.2939367155389512,0.39855050688634658,158.88307194623101,10.060941461882475,6.3322928859830236
13,K2-31,b,245.44075100000001,-23.547865000000002,9.5167422919996234,0.56248346927245374,105.07797409210747,6.2105940875520727,5.9104623411449628
14,HAT-P-14,b,260.11616900000001,38.242165,3.9655477064344007,0.42564148977183802,252.17197573425344,27.066842558992924,10.733485543023541
15,HAT-P-15,b,66.248025999999996,39.460636000000001,5.1179262445374514,0.41261562608999919,195.39163954684506,15.75279514245117,8.0621643684372906
